87.4131 -112.975 72.7159
88.196 -112.648 72.4639
443.517 -313.398 202.256
286.757 -204.258 134.64
404.563 -286.392 188.034
311.41 -219.272 144.434
310.968 -219.112 144.17
311.184 -218.483 143.409
285.13 -200.228 131.106
312.944 -217.783 143.14
311.728 -216.638 142.613
312.012 -216.421 142.277
379.399 -258.049 169.392
380.432 -258.82 169.737
314.898 -212.764 139.692
364.386 -245.297 162.138
242.009 -161.924 107.128
194.967 -267.69 177.49
195.327 -268.054 177.84
194.889 -266.322 176.848
214.447 -290.608 192.626
216.544 -289.256 191.968
277.712 -369.762 245.904
199.98 -265.872 177.371
199.785 -265.651 176.163
198.62 -263.922 175.4
200.556 -266.463 176.907
280.122 -372.228 246.643
173.468 -227.525 151.972
173.974 -227.463 151.551
200.573 -260.818 173.172
87.6758 -112.801 75.2163
177.91 -228.829 151.905
284.382 -362.349 240.208
118.2 -149.269 99.3713
207.312 -262.015 174.805
262.561 -329.122 219.017
110.835 -137.15 91.6165
228.646 -283.637 188.627
207.029 -254.892 169.452
207.433 -253.859 168.3
334.567 -400.163 267.129
79.0861 -91.798 61.3975
322.766 -370.492 247.45
234.383 -269.26 179.339
228.391 -261.76 174.624
321.832 -366.393 244.964
281.811 -320.305 213.999
143.904 -163.068 108.414
131.36 -148.579 99.3753
147.882 -166.948 111.533
132.339 -149.192 99.2328
248.442 -277.213 185.416
178.045 -198.346 132.558
177.952 -197.488 132.243
187.731 -207.015 137.981
234.98 -258.077 172.784
411.93 -451.014 299.647
236.168 -257.22 170.859
244.134 -264.419 175.674
204.698 -220.594 147.727
339.647 -364.445 242.98
336.882 -361.377 241.638
321.267 -343.614 229.754
304.426 -323.529 215.008
410.65 -435.953 290.244
343.991 -363.848 243.807
342.077 -360.87 241.677
248.833 -262.585 175.525
134.826 -141.967 94.7356
124.554 -129.848 86.9784
274.155 -285.883 191.037
118.735 -123.898 82.6703
123.458 -128.42 85.6554
193.961 -202.181 134.635
194.595 -202.473 135.45
266.091 -276.414 185.141
121.632 -126.314 84.3433
123.84 -128.555 85.9542
194.702 -201.353 134.417
278.948 -283.474 190.002
